user,time_dt,collection_id,collection_name,collection_logical_name,start_time_dt,end_time_dt,resource_request_cpu,resource_request_memory,average_usage_cpu,average_usage_memory,maximum_usage_cpu,maximum_usage_memory,hour
QXNirTL84KUsi2ZGntOYA15Vauoi90aLnLoh/zXK7AY=,1970-01-05 02:13:09.146434,279416644389,1QJFQQXB4wTYKVPe+7o5gCndTtVvJMsd5JUk1s2Gguo=,41am9oNTfTCQ0FFHktxvmAnuyn82s8YZZHNdfK6zx6w=,1970-01-05 02:19:55,1970-01-05 02:20:00,0.0043182373046875,0.0111541748046875,0.000492095947265625,0.001567840576171875,0.000614166259765625,0.0015716552734375,1970-01-05 02:00:00
QXNirTL84KUsi2ZGntOYA15Vauoi90aLnLoh/zXK7AY=,1970-01-05 02:13:09.157107,279416644389,1QJFQQXB4wTYKVPe+7o5gCndTtVvJMsd5JUk1s2Gguo=,41am9oNTfTCQ0FFHktxvmAnuyn82s8YZZHNdfK6zx6w=,1970-01-05 02:19:55,1970-01-05 02:20:00,0.0043182373046875,0.0111541748046875,0.000492095947265625,0.001567840576171875,0.000614166259765625,0.0015716552734375,1970-01-05 02:00:00
QXNirTL84KUsi2ZGntOYA15Vauoi90aLnLoh/zXK7AY=,1970-01-05 02:13:28.591796,279416612954,eznLZSwBp5ffD+dWYTWDczSuVWdxDJvxhW4nUlMLvlo=,41am9oNTfTCQ0FFHktxvmAnuyn82s8YZZHNdfK6zx6w=,1970-01-05 13:10:00,1970-01-05 13:14:11,0.0043182373046875,0.0111541748046875,0.00603485107421875,0.00698089599609375,0.015045166015625,0.006988525390625,1970-01-05 02:00:00
QXNirTL84KUsi2ZGntOYA15Vauoi90aLnLoh/zXK7AY=,1970-01-05 02:13:28.593036,279416612954,eznLZSwBp5ffD+dWYTWDczSuVWdxDJvxhW4nUlMLvlo=,41am9oNTfTCQ0FFHktxvmAnuyn82s8YZZHNdfK6zx6w=,1970-01-05 13:10:00,1970-01-05 13:14:11,0.0043182373046875,0.0111541748046875,0.00603485107421875,0.00698089599609375,0.015045166015625,0.006988525390625,1970-01-05 02:00:00
QXNirTL84KUsi2ZGntOYA15Vauoi90aLnLoh/zXK7AY=,1970-01-05 02:13:28.593654,279416612954,eznLZSwBp5ffD+dWYTWDczSuVWdxDJvxhW4nUlMLvlo=,41am9oNTfTCQ0FFHktxvmAnuyn82s8YZZHNdfK6zx6w=,1970-01-05 13:10:00,1970-01-05 13:14:11,0.0043182373046875,0.0111541748046875,0.00603485107421875,0.00698089599609375,0.015045166015625,0.006988525390625,1970-01-05 02:00:00
QXNirTL84KUsi2ZGntOYA15Vauoi90aLnLoh/zXK7AY=,1970-01-05 02:13:28.593724,279416612954,eznLZSwBp5ffD+dWYTWDczSuVWdxDJvxhW4nUlMLvlo=,41am9oNTfTCQ0FFHktxvmAnuyn82s8YZZHNdfK6zx6w=,1970-01-05 13:10:00,1970-01-05 13:14:11,0.0043182373046875,0.0111541748046875,0.00603485107421875,0.00698089599609375,0.015045166015625,0.006988525390625,1970-01-05 02:00:00
QXNirTL84KUsi2ZGntOYA15Vauoi90aLnLoh/zXK7AY=,1970-01-05 02:13:28.593884,279416612954,eznLZSwBp5ffD+dWYTWDczSuVWdxDJvxhW4nUlMLvlo=,41am9oNTfTCQ0FFHktxvmAnuyn82s8YZZHNdfK6zx6w=,1970-01-05 13:10:00,1970-01-05 13:14:11,0.0043182373046875,0.0111541748046875,0.00603485107421875,0.00698089599609375,0.015045166015625,0.006988525390625,1970-01-05 02:00:00
QXNirTL84KUsi2ZGntOYA15Vauoi90aLnLoh/zXK7AY=,1970-01-05 02:13:28.594028,279416612954,eznLZSwBp5ffD+dWYTWDczSuVWdxDJvxhW4nUlMLvlo=,41am9oNTfTCQ0FFHktxvmAnuyn82s8YZZHNdfK6zx6w=,1970-01-05 13:10:00,1970-01-05 13:14:11,0.0043182373046875,0.0111541748046875,0.00603485107421875,0.00698089599609375,0.015045166015625,0.006988525390625,1970-01-05 02:00:00
QXNirTL84KUsi2ZGntOYA15Vauoi90aLnLoh/zXK7AY=,1970-01-05 02:13:28.594124,279416612954,eznLZSwBp5ffD+dWYTWDczSuVWdxDJvxhW4nUlMLvlo=,41am9oNTfTCQ0FFHktxvmAnuyn82s8YZZHNdfK6zx6w=,1970-01-05 13:10:00,1970-01-05 13:14:11,0.0043182373046875,0.0111541748046875,0.00603485107421875,0.00698089599609375,0.015045166015625,0.006988525390625,1970-01-05 02:00:00
QXNirTL84KUsi2ZGntOYA15Vauoi90aLnLoh/zXK7AY=,1970-01-05 02:13:28.595452,279416612954,eznLZSwBp5ffD+dWYTWDczSuVWdxDJvxhW4nUlMLvlo=,41am9oNTfTCQ0FFHktxvmAnuyn82s8YZZHNdfK6zx6w=,1970-01-05 13:10:00,1970-01-05 13:14:11,0.0043182373046875,0.0111541748046875,0.00603485107421875,0.00698089599609375,0.015045166015625,0.006988525390625,1970-01-05 02:00:00
QXNirTL84KUsi2ZGntOYA15Vauoi90aLnLoh/zXK7AY=,1970-01-05 02:13:28.595560,279416612954,eznLZSwBp5ffD+dWYTWDczSuVWdxDJvxhW4nUlMLvlo=,41am9oNTfTCQ0FFHktxvmAnuyn82s8YZZHNdfK6zx6w=,1970-01-05 13:10:00,1970-01-05 13:14:11,0.0043182373046875,0.0111541748046875,0.00603485107421875,0.00698089599609375,0.015045166015625,0.006988525390625,1970-01-05 02:00:00
QXNirTL84KUsi2ZGntOYA15Vauoi90aLnLoh/zXK7AY=,1970-01-05 02:13:28.595664,279416612954,eznLZSwBp5ffD+dWYTWDczSuVWdxDJvxhW4nUlMLvlo=,41am9oNTfTCQ0FFHktxvmAnuyn82s8YZZHNdfK6zx6w=,1970-01-05 13:10:00,1970-01-05 13:14:11,0.0043182373046875,0.0111541748046875,0.00603485107421875,0.00698089599609375,0.015045166015625,0.006988525390625,1970-01-05 02:00:00
